"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","orig.id"
"1",2023,1,25,1843,1843,0,2203,2209,-6,"DL",526,"N830DN","EWR","SLC",260,1969,18,43,2023-01-25 18:00:00,"3823"
"2",2023,11,26,703,705,-2,1051,1020,31,"DL",554,"N392DN","LGA","FLL",167,1076,7,5,2023-11-26 07:00:00,"55341"
"3",2023,10,29,2057,2055,2,2255,2238,17,"DL",375,"N107DU","LGA","ORD",125,733,20,55,2023-10-29 20:00:00,"50658"
"4",2023,10,12,1113,1115,-2,1438,1435,3,"DL",887,"N110DX","LGA","FLL",177,1076,11,15,2023-10-12 11:00:00,"47606"
"5",2023,10,24,1910,1920,-10,2102,2129,-27,"DL",564,"N364DX","LGA","DTW",77,502,19,20,2023-10-24 19:00:00,"49774"
"6",2023,6,14,2000,1511,289,2244,1820,264,"DL",380,"N336NB","LGA","PBI",142,1035,15,11,2023-06-14 15:00:00,"27174"
"7",2023,8,23,604,605,-1,820,817,3,"DL",667,"N346NB","EWR","ATL",101,746,6,5,2023-08-23 06:00:00,"38898"
"8",2023,9,21,2056,2100,-4,2315,2326,-11,"DL",335,"N104DN","LGA","ATL",106,762,21,0,2023-09-21 21:00:00,"43999"
"9",2023,9,13,1554,1555,-1,1855,1911,-16,"DL",382,"N775DE","LGA","MIA",159,1096,15,55,2023-09-13 15:00:00,"42543"
"10",2023,7,23,2155,2159,-4,102,148,-46,"DL",287,"N706TW","JFK","SFO",333,2586,21,59,2023-07-23 21:00:00,"33754"
"11",2023,5,21,830,830,0,1103,1104,-1,"DL",579,"N129DU","JFK","JAX",118,828,8,30,2023-05-21 08:00:00,"22977"
"12",2023,1,24,1633,1600,33,1741,1721,20,"DL",829,"N118DU","LGA","BOS",39,184,16,0,2023-01-24 16:00:00,"3638"
"13",2023,12,12,1835,1835,0,2049,2049,0,"DL",595,"N966AT","EWR","MSP",163,1008,18,35,2023-12-12 18:00:00,"58311"
"14",2023,12,9,1432,1400,32,1656,1645,11,"DL",159,"N367NW","LGA","ATL",119,762,14,0,2023-12-09 14:00:00,"57745"
"15",2023,3,25,1015,1010,5,1300,1318,-18,"DL",995,"N375DN","LGA","MCO",142,950,10,10,2023-03-25 10:00:00,"13459"
"16",2023,4,22,1810,1700,70,2052,2006,46,"DL",252,"N805DN","JFK","LAS",301,2248,17,0,2023-04-22 17:00:00,"18178"
"17",2023,12,8,1813,1815,-2,2114,2144,-30,"DL",197,"N116DU","JFK","DFW",197,1391,18,15,2023-12-08 18:00:00,"57613"
"18",2023,2,1,2009,2019,-10,2211,2220,-9,"DL",954,"N971AT","EWR","DTW",99,488,20,19,2023-02-01 20:00:00,"4981"
"19",2023,4,22,1910,1755,75,2045,1950,55,"DL",436,"N144DU","LGA","ORD",122,733,17,55,2023-04-22 17:00:00,"18186"
"20",2023,1,27,2218,1929,169,120,2239,161,"DL",649,"N390DA","JFK","PBI",160,1028,19,29,2023-01-27 19:00:00,"4204"
"21",2023,7,16,2254,1940,194,148,2311,157,"DL",513,"N808DN","JFK","FLL",145,1069,19,40,2023-07-16 19:00:00,"32534"
"22",2023,5,13,1437,1400,37,1643,1631,12,"DL",138,"N377DN","LGA","ATL",106,762,14,0,2023-05-13 14:00:00,"21673"
"23",2023,6,8,1544,1531,13,1915,1849,26,"DL",595,"N335DN","LGA","FLL",172,1076,15,31,2023-06-08 15:00:00,"26136"
"24",2023,7,24,1932,1835,57,2124,2045,39,"DL",793,"N946AT","EWR","MSP",141,1008,18,35,2023-07-24 18:00:00,"33908"
"25",2023,5,13,1710,1710,0,1945,1955,-10,"DL",156,"N3763D","LGA","DEN",236,1620,17,10,2023-05-13 17:00:00,"21701"
"26",2023,10,30,1142,1145,-3,1438,1445,-7,"DL",1005,"N387DN","LGA","MCO",137,950,11,45,2023-10-30 11:00:00,"50742"
"27",2023,12,19,1442,1330,72,1724,1650,34,"DL",294,"N411DX","JFK","LAX",319,2475,13,30,2023-12-19 13:00:00,"59520"
"28",2023,12,23,1954,2000,-6,2301,2305,-4,"DL",854,"N832DN","JFK","TPA",144,1005,20,0,2023-12-23 20:00:00,"60297"
